street_name,order_num,SA_num,intersection_id,intersection_name,direction,distance_from_prev_meter,time_plan,cycle_length_sec,green_start_sec,green_duration_sec,offset_sec,speed_limit_kph
해안로,35,26,D450,35교차로,동서,215,0600_0900,160,0,160,97,50
해안로,34,26,D414,34교차로,동서,90,0600_0900,160,0,127,11,50
해안로,33,26,D256,33교차로,동서,304,0600_0900,160,0,127,11,50
해안로,32,26,D255,32교차로,동서,303,morning_peak,160,0,104,11,50
해안로,31,26,D537,31교차로,동서,306,morning_peak,160,0,127,47,50
해안로,30,26,D254,30교차로,동서,304,morning_peak,160,0,75,69,50
해안로,29,26,D520,29교차로,동서,300,morning_peak,160,0,127,56,50
해안로,28,26,D253,28교차로,동서,298,morning_peak,160,0,78,44,50
해안로,27,26,D380,27교차로,동서,316,morning_peak,160,0,127,30,50
해안로,26,10,D252,26교차로,동서,323,morning_peak,180,40,71,109,50
해안로,25,10,D362,25교차로,동서,309,morning_peak,180,0,147,126,50
해안로,24,10,D251,24교차로,동서,519,morning_peak,180,35,99,103,50
해안로,23,10,D250,23교차로,동서,835,morning_peak,180,33,105,70,50
해안로,22,88,D249,22교차로,동서,752,morning_peak,210,0,210,187,50
해안로,21,13,D248,21교차로,동서,616,morning_peak,220,-83,112,162,60
해안로,20,13,S209,20교차로,동서,510,morning_peak,220,69,123,103,60
해안로,19,13,S208,19교차로,동서,580,morning_peak,220,104,80,193,60
해안로,18,9,S253,18교차로,동서,265,morning_peak,160,65,95,143,60
해안로,17,9,S207,17교차로,동서,270,morning_peak,160,62,98,152,60
해안로,16,9,S241,16교차로,동서,256,morning_peak,160,0,110,159,60
해안로,15,9,S999,15교차로,동서,190,morning_peak,160,0,115,158,60
해안로,14,9,S205,14교차로,동서,300,morning_peak,160,0,120,5,60
해안로,13,9,S204,13교차로,동서,510,morning_peak,160,78,82,151,60
해안로,12,9,S203,12교차로,동서,600,morning_peak,160,72,88,126,60
해안로,11,9,S202,11교차로,동서,454,morning_peak,160,40,62,151,60
해안로,10,9,S201,10교차로,동서,140,morning_peak,160,45,115,150,60
해안로,9,9,S200,9교차로,동서,120,morning_peak,160,26,102,139,60
해안로,8,9,S199,8교차로,동서,792,morning_peak,160,65,95,10,60
해안로,7,9,S198,7교차로,동서,240,morning_peak,160,64,96,115,60
해안로,6,9,S197,6교차로,동서,800,morning_peak,160,66,94,107,60
해안로,5,48,S196,5교차로,동서,1100,morning_peak,150,69,31,15,60
해안로,4,77,S195,4교차로,동서,175,morning_peak,160,17,70,10,60
해안로,3,77,S245,3교차로,동서,300,morning_peak,160,0,123,134,60
해안로,2,77,S270,2교차로,동서,130,morning_peak,160,0,111,141,60
해안로,1,77,S194,1교차로,동서,0,morning_peak,160,38,100,141,60
해안로,1,26,D450,1교차로,서동,0,0600_0900,160,0,160,97,50
해안로,2,26,D414,2교차로,서동,215,0600_0900,160,0,127,11,50
해안로,3,26,D256,3교차로,서동,90,0600_0900,160,0,127,11,50
해안로,4,26,D255,4교차로,서동,304,morning_peak,160,0,104,11,50
해안로,5,26,D537,5교차로,서동,303,morning_peak,160,0,127,47,50
해안로,6,26,D254,6교차로,서동,306,morning_peak,160,0,75,69,50
해안로,7,26,D520,7교차로,서동,304,morning_peak,160,0,127,56,50
해안로,8,26,D253,8교차로,서동,300,morning_peak,160,0,78,44,50
해안로,9,26,D380,9교차로,서동,298,morning_peak,160,0,127,30,50
해안로,10,10,D252,10교차로,서동,316,morning_peak,180,0,40,109,50
해안로,11,10,D362,11교차로,서동,323,morning_peak,180,0,147,126,50
해안로,12,10,D251,12교차로,서동,309,morning_peak,180,35,99,103,50
해안로,13,10,D250,13교차로,서동,519,morning_peak,180,33,105,70,50
해안로,14,88,D249,14교차로,서동,835,morning_peak,210,0,144,187,50
해안로,15,13,D248,15교차로,서동,752,morning_peak,220,0,29,162,60
해안로,16,13,S209,16교차로,서동,616,morning_peak,220,69,123,103,60
해안로,17,13,S208,17교차로,서동,510,morning_peak,220,63,121,193,60
해안로,18,9,S253,18교차로,서동,580,morning_peak,160,-95,119,143,60
해안로,19,9,S207,19교차로,서동,265,morning_peak,160,-98,118,152,60
해안로,20,9,S241,20교차로,서동,270,morning_peak,160,0,71,159,60
해안로,21,9,S999,21교차로,서동,256,morning_peak,160,0,95,158,60
해안로,22,9,S205,22교차로,서동,190,morning_peak,160,0,120,5,60
해안로,23,9,S204,23교차로,서동,300,morning_peak,160,78,82,151,60
해안로,24,9,S203,24교차로,서동,510,morning_peak,160,72,88,126,60
해안로,25,9,S202,25교차로,서동,600,morning_peak,160,40,62,151,60
해안로,26,9,S201,26교차로,서동,454,morning_peak,160,45,85,150,60
해안로,27,9,S200,27교차로,서동,140,morning_peak,160,26,102,139,60
해안로,28,9,S199,28교차로,서동,120,morning_peak,160,85,75,10,60
해안로,29,9,S198,29교차로,서동,792,morning_peak,160,-96,119,115,60
해안로,30,9,S197,30교차로,서동,240,morning_peak,160,-94,117,107,60
해안로,31,48,S196,31교차로,서동,800,morning_peak,150,36,33,15,60
해안로,32,77,S195,32교차로,서동,1100,morning_peak,160,17,70,10,60
해안로,33,77,S245,33교차로,서동,175,morning_peak,160,0,123,134,60
해안로,34,77,S270,34교차로,서동,300,morning_peak,160,0,124,141,60
해안로,35,77,S194,35교차로,서동,130,morning_peak,160,38,122,141,60
해안로,35,77,S194,35교차로,서동,130,morning_peak,160,38,122,141,60
