intersection_name,direction,SA_num,green_start_time,green_end_time,cycle,cumulative_distance
1교차로,서동,26,-63,97,160,0.0
1교차로,서동,26,97,257,160,0.0
1교차로,서동,26,257,417,160,0.0
1교차로,서동,26,417,577,160,0.0
2교차로,서동,26,11,138,160,215.0
2교차로,서동,26,171,298,160,215.0
2교차로,서동,26,331,458,160,215.0
3교차로,서동,26,11,138,160,305.0
3교차로,서동,26,171,298,160,305.0
3교차로,서동,26,331,458,160,305.0
4교차로,서동,26,11,115,160,609.0
4교차로,서동,26,171,275,160,609.0
4교차로,서동,26,331,435,160,609.0
5교차로,서동,26,-113,14,160,912.0
5교차로,서동,26,47,174,160,912.0
5교차로,서동,26,207,334,160,912.0
5교차로,서동,26,367,494,160,912.0
6교차로,서동,26,69,144,160,1218.0
6교차로,서동,26,229,304,160,1218.0
6교차로,서동,26,389,464,160,1218.0
7교차로,서동,26,-104,23,160,1522.0
7교차로,서동,26,56,183,160,1522.0
7교차로,서동,26,216,343,160,1522.0
7교차로,서동,26,376,503,160,1522.0
8교차로,서동,26,44,122,160,1822.0
8교차로,서동,26,204,282,160,1822.0
8교차로,서동,26,364,442,160,1822.0
9교차로,서동,26,30,157,160,2120.0
9교차로,서동,26,190,317,160,2120.0
9교차로,서동,26,350,477,160,2120.0
