intersection_name,direction,SA_num,green_start_time,green_end_time,cycle
1교차로,동서,77,19,119,160
1교차로,동서,77,179,279,160
1교차로,동서,77,339,439,160
2교차로,동서,77,-19,92,160
2교차로,동서,77,141,252,160
2교차로,동서,77,301,412,160
3교차로,동서,77,-26,97,160
3교차로,동서,77,134,257,160
3교차로,동서,77,294,417,160
4교차로,동서,77,27,97,160
4교차로,동서,77,187,257,160
4교차로,동서,77,347,417,160
5교차로,동서,48,84,115,150
5교차로,동서,48,234,265,150
5교차로,동서,48,384,415,150
6교차로,동서,9,13,107,160
6교차로,동서,9,173,267,160
6교차로,동서,9,333,427,160
7교차로,동서,9,19,115,160
7교차로,동서,9,179,275,160
7교차로,동서,9,339,435,160
8교차로,동서,9,-85,10,160
8교차로,동서,9,75,170,160
8교차로,동서,9,235,330,160
8교차로,동서,9,395,490,160
9교차로,동서,9,5,107,160
9교차로,동서,9,165,267,160
9교차로,동서,9,325,427,160
10교차로,동서,9,35,150,160
10교차로,동서,9,195,310,160
10교차로,동서,9,355,470,160
11교차로,동서,9,31,93,160
11교차로,동서,9,191,253,160
11교차로,동서,9,351,413,160
12교차로,동서,9,38,126,160
12교차로,동서,9,198,286,160
12교차로,동서,9,358,446,160
13교차로,동서,9,69,151,160
13교차로,동서,9,229,311,160
13교차로,동서,9,389,471,160
14교차로,동서,9,5,125,160
14교차로,동서,9,165,285,160
14교차로,동서,9,325,445,160
15교차로,동서,9,-2,113,160
15교차로,동서,9,158,273,160
15교차로,동서,9,318,433,160
16교차로,동서,9,-1,109,160
16교차로,동서,9,159,269,160
16교차로,동서,9,319,429,160
17교차로,동서,9,54,152,160
17교차로,동서,9,214,312,160
17교차로,동서,9,374,472,160
18교차로,동서,9,48,143,160
18교차로,동서,9,208,303,160
18교차로,동서,9,368,463,160
19교차로,동서,13,77,157,220
19교차로,동서,13,297,377,220
20교차로,동서,13,-48,75,220
20교차로,동서,13,172,295,220
20교차로,동서,13,392,515,220
21교차로,동서,13,79,191,220
21교차로,동서,13,299,411,220
22교차로,동서,88,-23,187,210
22교차로,동서,88,187,397,210
22교차로,동서,88,397,607,210
23교차로,동서,10,-77,28,180
23교차로,동서,10,103,208,180
23교차로,동서,10,283,388,180
24교차로,동서,10,-42,57,180
24교차로,동서,10,138,237,180
24교차로,동서,10,318,417,180
25교차로,동서,10,-54,93,180
25교차로,동서,10,126,273,180
25교차로,동서,10,306,453,180
26교차로,동서,10,-31,40,180
26교차로,동서,10,149,220,180
26교차로,동서,10,329,400,180
27교차로,동서,26,30,157,160
27교차로,동서,26,190,317,160
27교차로,동서,26,350,477,160
28교차로,동서,26,44,122,160
28교차로,동서,26,204,282,160
28교차로,동서,26,364,442,160
29교차로,동서,26,-104,23,160
29교차로,동서,26,56,183,160
29교차로,동서,26,216,343,160
29교차로,동서,26,376,503,160
30교차로,동서,26,69,144,160
30교차로,동서,26,229,304,160
30교차로,동서,26,389,464,160
31교차로,동서,26,-113,14,160
31교차로,동서,26,47,174,160
31교차로,동서,26,207,334,160
31교차로,동서,26,367,494,160
32교차로,동서,26,11,115,160
32교차로,동서,26,171,275,160
32교차로,동서,26,331,435,160
33교차로,동서,26,11,138,160
33교차로,동서,26,171,298,160
33교차로,동서,26,331,458,160
34교차로,동서,26,11,138,160
34교차로,동서,26,171,298,160
34교차로,동서,26,331,458,160
35교차로,동서,26,-63,97,160
35교차로,동서,26,97,257,160
35교차로,동서,26,257,417,160
