intersection_name,direction,SA_num,green_start_time,green_end_time,cycle
1교차로,서동,26,-63,97,160
1교차로,서동,26,97,257,160
1교차로,서동,26,257,417,160
1교차로,서동,26,417,577,160
1교차로,서동,26,577,737,160
1교차로,서동,26,737,897,160
1교차로,서동,26,897,1057,160
1교차로,서동,26,1057,1217,160
1교차로,서동,26,1217,1377,160
1교차로,서동,26,1377,1537,160
1교차로,서동,26,1537,1697,160
1교차로,서동,26,1697,1857,160
1교차로,서동,26,1857,2017,160
1교차로,서동,26,2017,2177,160
1교차로,서동,26,2177,2337,160
1교차로,서동,26,2337,2497,160
1교차로,서동,26,2497,2657,160
1교차로,서동,26,2657,2817,160
1교차로,서동,26,2817,2977,160
1교차로,서동,26,2977,3137,160
1교차로,서동,26,3137,3297,160
1교차로,서동,26,3297,3457,160
1교차로,서동,26,3457,3617,160
2교차로,서동,26,11,138,160
2교차로,서동,26,171,298,160
2교차로,서동,26,331,458,160
2교차로,서동,26,491,618,160
2교차로,서동,26,651,778,160
2교차로,서동,26,811,938,160
2교차로,서동,26,971,1098,160
2교차로,서동,26,1131,1258,160
2교차로,서동,26,1291,1418,160
2교차로,서동,26,1451,1578,160
2교차로,서동,26,1611,1738,160
2교차로,서동,26,1771,1898,160
2교차로,서동,26,1931,2058,160
2교차로,서동,26,2091,2218,160
2교차로,서동,26,2251,2378,160
2교차로,서동,26,2411,2538,160
2교차로,서동,26,2571,2698,160
2교차로,서동,26,2731,2858,160
2교차로,서동,26,2891,3018,160
2교차로,서동,26,3051,3178,160
2교차로,서동,26,3211,3338,160
2교차로,서동,26,3371,3498,160
2교차로,서동,26,3531,3658,160
3교차로,서동,26,11,138,160
3교차로,서동,26,171,298,160
3교차로,서동,26,331,458,160
3교차로,서동,26,491,618,160
3교차로,서동,26,651,778,160
3교차로,서동,26,811,938,160
3교차로,서동,26,971,1098,160
3교차로,서동,26,1131,1258,160
3교차로,서동,26,1291,1418,160
3교차로,서동,26,1451,1578,160
3교차로,서동,26,1611,1738,160
3교차로,서동,26,1771,1898,160
3교차로,서동,26,1931,2058,160
3교차로,서동,26,2091,2218,160
3교차로,서동,26,2251,2378,160
3교차로,서동,26,2411,2538,160
3교차로,서동,26,2571,2698,160
3교차로,서동,26,2731,2858,160
3교차로,서동,26,2891,3018,160
3교차로,서동,26,3051,3178,160
3교차로,서동,26,3211,3338,160
3교차로,서동,26,3371,3498,160
3교차로,서동,26,3531,3658,160
4교차로,서동,26,11,115,160
4교차로,서동,26,171,275,160
4교차로,서동,26,331,435,160
4교차로,서동,26,491,595,160
4교차로,서동,26,651,755,160
4교차로,서동,26,811,915,160
4교차로,서동,26,971,1075,160
4교차로,서동,26,1131,1235,160
4교차로,서동,26,1291,1395,160
4교차로,서동,26,1451,1555,160
4교차로,서동,26,1611,1715,160
4교차로,서동,26,1771,1875,160
4교차로,서동,26,1931,2035,160
4교차로,서동,26,2091,2195,160
4교차로,서동,26,2251,2355,160
4교차로,서동,26,2411,2515,160
4교차로,서동,26,2571,2675,160
4교차로,서동,26,2731,2835,160
4교차로,서동,26,2891,2995,160
4교차로,서동,26,3051,3155,160
4교차로,서동,26,3211,3315,160
4교차로,서동,26,3371,3475,160
4교차로,서동,26,3531,3635,160
5교차로,서동,26,-113,14,160
5교차로,서동,26,47,174,160
5교차로,서동,26,207,334,160
5교차로,서동,26,367,494,160
5교차로,서동,26,527,654,160
5교차로,서동,26,687,814,160
5교차로,서동,26,847,974,160
5교차로,서동,26,1007,1134,160
5교차로,서동,26,1167,1294,160
5교차로,서동,26,1327,1454,160
5교차로,서동,26,1487,1614,160
5교차로,서동,26,1647,1774,160
5교차로,서동,26,1807,1934,160
5교차로,서동,26,1967,2094,160
5교차로,서동,26,2127,2254,160
5교차로,서동,26,2287,2414,160
5교차로,서동,26,2447,2574,160
5교차로,서동,26,2607,2734,160
5교차로,서동,26,2767,2894,160
5교차로,서동,26,2927,3054,160
5교차로,서동,26,3087,3214,160
5교차로,서동,26,3247,3374,160
5교차로,서동,26,3407,3534,160
5교차로,서동,26,3567,3694,160
6교차로,서동,26,69,144,160
6교차로,서동,26,229,304,160
6교차로,서동,26,389,464,160
6교차로,서동,26,549,624,160
6교차로,서동,26,709,784,160
6교차로,서동,26,869,944,160
6교차로,서동,26,1029,1104,160
6교차로,서동,26,1189,1264,160
6교차로,서동,26,1349,1424,160
6교차로,서동,26,1509,1584,160
6교차로,서동,26,1669,1744,160
6교차로,서동,26,1829,1904,160
6교차로,서동,26,1989,2064,160
6교차로,서동,26,2149,2224,160
6교차로,서동,26,2309,2384,160
6교차로,서동,26,2469,2544,160
6교차로,서동,26,2629,2704,160
6교차로,서동,26,2789,2864,160
6교차로,서동,26,2949,3024,160
6교차로,서동,26,3109,3184,160
6교차로,서동,26,3269,3344,160
6교차로,서동,26,3429,3504,160
6교차로,서동,26,3589,3664,160
7교차로,서동,26,-104,23,160
7교차로,서동,26,56,183,160
7교차로,서동,26,216,343,160
7교차로,서동,26,376,503,160
7교차로,서동,26,536,663,160
7교차로,서동,26,696,823,160
7교차로,서동,26,856,983,160
7교차로,서동,26,1016,1143,160
7교차로,서동,26,1176,1303,160
7교차로,서동,26,1336,1463,160
7교차로,서동,26,1496,1623,160
7교차로,서동,26,1656,1783,160
7교차로,서동,26,1816,1943,160
7교차로,서동,26,1976,2103,160
7교차로,서동,26,2136,2263,160
7교차로,서동,26,2296,2423,160
7교차로,서동,26,2456,2583,160
7교차로,서동,26,2616,2743,160
7교차로,서동,26,2776,2903,160
7교차로,서동,26,2936,3063,160
7교차로,서동,26,3096,3223,160
7교차로,서동,26,3256,3383,160
7교차로,서동,26,3416,3543,160
7교차로,서동,26,3576,3703,160
8교차로,서동,26,44,122,160
8교차로,서동,26,204,282,160
8교차로,서동,26,364,442,160
8교차로,서동,26,524,602,160
8교차로,서동,26,684,762,160
8교차로,서동,26,844,922,160
8교차로,서동,26,1004,1082,160
8교차로,서동,26,1164,1242,160
8교차로,서동,26,1324,1402,160
8교차로,서동,26,1484,1562,160
8교차로,서동,26,1644,1722,160
8교차로,서동,26,1804,1882,160
8교차로,서동,26,1964,2042,160
8교차로,서동,26,2124,2202,160
8교차로,서동,26,2284,2362,160
8교차로,서동,26,2444,2522,160
8교차로,서동,26,2604,2682,160
8교차로,서동,26,2764,2842,160
8교차로,서동,26,2924,3002,160
8교차로,서동,26,3084,3162,160
8교차로,서동,26,3244,3322,160
8교차로,서동,26,3404,3482,160
8교차로,서동,26,3564,3642,160
9교차로,서동,26,30,157,160
9교차로,서동,26,190,317,160
9교차로,서동,26,350,477,160
9교차로,서동,26,510,637,160
9교차로,서동,26,670,797,160
9교차로,서동,26,830,957,160
9교차로,서동,26,990,1117,160
9교차로,서동,26,1150,1277,160
9교차로,서동,26,1310,1437,160
9교차로,서동,26,1470,1597,160
9교차로,서동,26,1630,1757,160
9교차로,서동,26,1790,1917,160
9교차로,서동,26,1950,2077,160
9교차로,서동,26,2110,2237,160
9교차로,서동,26,2270,2397,160
9교차로,서동,26,2430,2557,160
9교차로,서동,26,2590,2717,160
9교차로,서동,26,2750,2877,160
9교차로,서동,26,2910,3037,160
9교차로,서동,26,3070,3197,160
9교차로,서동,26,3230,3357,160
9교차로,서동,26,3390,3517,160
9교차로,서동,26,3550,3677,160
10교차로,서동,10,109,149,180
10교차로,서동,10,289,329,180
10교차로,서동,10,469,509,180
10교차로,서동,10,649,689,180
10교차로,서동,10,829,869,180
10교차로,서동,10,1009,1049,180
10교차로,서동,10,1189,1229,180
10교차로,서동,10,1369,1409,180
10교차로,서동,10,1549,1589,180
10교차로,서동,10,1729,1769,180
10교차로,서동,10,1909,1949,180
10교차로,서동,10,2089,2129,180
10교차로,서동,10,2269,2309,180
10교차로,서동,10,2449,2489,180
10교차로,서동,10,2629,2669,180
10교차로,서동,10,2809,2849,180
10교차로,서동,10,2989,3029,180
10교차로,서동,10,3169,3209,180
10교차로,서동,10,3349,3389,180
10교차로,서동,10,3529,3569,180
11교차로,서동,10,-54,93,180
11교차로,서동,10,126,273,180
11교차로,서동,10,306,453,180
11교차로,서동,10,486,633,180
11교차로,서동,10,666,813,180
11교차로,서동,10,846,993,180
11교차로,서동,10,1026,1173,180
11교차로,서동,10,1206,1353,180
