intersection_name,direction,SA_num,green_start_time,green_end_time,cycle
1교차로,동서,77,19,119,160
1교차로,동서,77,179,279,160
1교차로,동서,77,339,439,160
1교차로,동서,77,499,599,160
1교차로,동서,77,659,759,160
1교차로,동서,77,819,919,160
1교차로,동서,77,979,1079,160
1교차로,동서,77,1139,1239,160
1교차로,동서,77,1299,1399,160
1교차로,동서,77,1459,1559,160
1교차로,동서,77,1619,1719,160
1교차로,동서,77,1779,1879,160
1교차로,동서,77,1939,2039,160
1교차로,동서,77,2099,2199,160
1교차로,동서,77,2259,2359,160
1교차로,동서,77,2419,2519,160
1교차로,동서,77,2579,2679,160
1교차로,동서,77,2739,2839,160
1교차로,동서,77,2899,2999,160
1교차로,동서,77,3059,3159,160
1교차로,동서,77,3219,3319,160
1교차로,동서,77,3379,3479,160
1교차로,동서,77,3539,3639,160
2교차로,동서,77,-19,92,160
2교차로,동서,77,141,252,160
2교차로,동서,77,301,412,160
2교차로,동서,77,461,572,160
2교차로,동서,77,621,732,160
2교차로,동서,77,781,892,160
2교차로,동서,77,941,1052,160
2교차로,동서,77,1101,1212,160
2교차로,동서,77,1261,1372,160
2교차로,동서,77,1421,1532,160
2교차로,동서,77,1581,1692,160
2교차로,동서,77,1741,1852,160
2교차로,동서,77,1901,2012,160
2교차로,동서,77,2061,2172,160
2교차로,동서,77,2221,2332,160
2교차로,동서,77,2381,2492,160
2교차로,동서,77,2541,2652,160
2교차로,동서,77,2701,2812,160
2교차로,동서,77,2861,2972,160
2교차로,동서,77,3021,3132,160
2교차로,동서,77,3181,3292,160
2교차로,동서,77,3341,3452,160
2교차로,동서,77,3501,3612,160
3교차로,동서,77,-26,97,160
3교차로,동서,77,134,257,160
3교차로,동서,77,294,417,160
3교차로,동서,77,454,577,160
3교차로,동서,77,614,737,160
3교차로,동서,77,774,897,160
3교차로,동서,77,934,1057,160
3교차로,동서,77,1094,1217,160
3교차로,동서,77,1254,1377,160
3교차로,동서,77,1414,1537,160
3교차로,동서,77,1574,1697,160
3교차로,동서,77,1734,1857,160
3교차로,동서,77,1894,2017,160
3교차로,동서,77,2054,2177,160
3교차로,동서,77,2214,2337,160
3교차로,동서,77,2374,2497,160
3교차로,동서,77,2534,2657,160
3교차로,동서,77,2694,2817,160
3교차로,동서,77,2854,2977,160
3교차로,동서,77,3014,3137,160
3교차로,동서,77,3174,3297,160
3교차로,동서,77,3334,3457,160
3교차로,동서,77,3494,3617,160
4교차로,동서,77,27,97,160
4교차로,동서,77,187,257,160
4교차로,동서,77,347,417,160
4교차로,동서,77,507,577,160
4교차로,동서,77,667,737,160
4교차로,동서,77,827,897,160
4교차로,동서,77,987,1057,160
4교차로,동서,77,1147,1217,160
4교차로,동서,77,1307,1377,160
4교차로,동서,77,1467,1537,160
4교차로,동서,77,1627,1697,160
4교차로,동서,77,1787,1857,160
4교차로,동서,77,1947,2017,160
4교차로,동서,77,2107,2177,160
4교차로,동서,77,2267,2337,160
4교차로,동서,77,2427,2497,160
4교차로,동서,77,2587,2657,160
4교차로,동서,77,2747,2817,160
4교차로,동서,77,2907,2977,160
4교차로,동서,77,3067,3137,160
4교차로,동서,77,3227,3297,160
4교차로,동서,77,3387,3457,160
4교차로,동서,77,3547,3617,160
5교차로,동서,48,84,115,150
5교차로,동서,48,234,265,150
5교차로,동서,48,384,415,150
5교차로,동서,48,534,565,150
5교차로,동서,48,684,715,150
5교차로,동서,48,834,865,150
5교차로,동서,48,984,1015,150
5교차로,동서,48,1134,1165,150
5교차로,동서,48,1284,1315,150
5교차로,동서,48,1434,1465,150
5교차로,동서,48,1584,1615,150
5교차로,동서,48,1734,1765,150
5교차로,동서,48,1884,1915,150
5교차로,동서,48,2034,2065,150
5교차로,동서,48,2184,2215,150
5교차로,동서,48,2334,2365,150
5교차로,동서,48,2484,2515,150
5교차로,동서,48,2634,2665,150
5교차로,동서,48,2784,2815,150
5교차로,동서,48,2934,2965,150
5교차로,동서,48,3084,3115,150
5교차로,동서,48,3234,3265,150
5교차로,동서,48,3384,3415,150
5교차로,동서,48,3534,3565,150
6교차로,동서,9,13,107,160
6교차로,동서,9,173,267,160
6교차로,동서,9,333,427,160
6교차로,동서,9,493,587,160
